GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,OREB,DREB,AST,TOV,FGA,FGM,FTA,FTM,HOME,WIN,PTS_ALLOWED
0022300063,2023-10-25,1610612737,ATL,ATL @ CHA,L,110,42,12,30,24,12,93,39,33,27,0,0,116.0
0022300079,2023-10-27,1610612737,ATL,ATL vs. NYK,L,120,44,9,35,28,14,87,42,30,24,1,0,126.0
0022300097,2023-10-29,1610612737,ATL,ATL @ MIL,W,127,46,13,33,32,17,93,47,22,18,0,1,110.0
0022300104,2023-10-30,1610612737,ATL,ATL vs. MIN,W,127,36,4,32,28,11,86,48,18,17,1,1,113.0
0022300117,2023-11-01,1610612737,ATL,ATL vs. WAS,W,130,57,14,43,26,21,92,46,32,29,1,1,121.0
0022300135,2023-11-04,1610612737,ATL,ATL @ NOP,W,123,52,19,33,28,13,93,45,24,19,0,1,105.0
0022300155,2023-11-06,1610612737,ATL,ATL @ OKC,L,117,59,25,34,27,15,102,38,32,27,0,0,126.0
0022300172,2023-11-09,1610612737,ATL,ATL @ ORL,W,120,36,8,28,22,18,85,41,30,23,0,1,119.0
0022300175,2023-11-11,1610612737,ATL,ATL vs. MIA,L,109,48,15,33,23,22,87,38,18,15,1,0,117.0
0022300018,2023-11-14,1610612737,ATL,ATL @ DET,W,126,41,10,31,28,14,87,45,26,24,0,1,120.0
0022300193,2023-11-15,1610612737,ATL,ATL vs. NYK,L,114,30,6,24,28,15,75,41,26,20,1,0,116.0
0022300029,2023-11-17,1610612737,ATL,ATL vs. PHI,L,116,39,14,25,24,13,89,40,30,24,1,0,126.0
0022300039,2023-11-21,1610612737,ATL,ATL vs. IND,L,152,39,12,27,28,15,95,57,28,23,1,0,157.0
0022300227,2023-11-22,1610612737,ATL,ATL vs. BKN,W,147,58,22,36,24,14,116,51,29,27,1,1,145.0
0022300241,2023-11-25,1610612737,ATL,ATL @ WAS,W,136,49,17,32,29,10,102,52,20,14,0,1,108.0
0022300246,2023-11-26,1610612737,ATL,ATL @ BOS,L,103,43,11,32,15,16,88,36,19,12,0,0,113.0
0022300055,2023-11-28,1610612737,ATL,ATL @ CLE,L,105,44,14,30,21,11,101,35,24,22,0,0,128.0
0022300272,2023-11-30,1610612737,ATL,ATL @ SAS,W,137,37,8,29,24,10,96,49,29,25,0,1,135.0
0022300286,2023-12-02,1610612737,ATL,ATL @ MIL,L,121,40,15,25,23,11,101,45,21,16,0,0,132.0
0022301209,2023-12-06,1610612737,ATL,ATL vs. BKN,L,113,49,11,38,25,13,94,42,18,17,1,0,114.0
0022301218,2023-12-08,1610612737,ATL,ATL @ PHI,L,114,55,23,32,20,14,104,41,21,19,0,0,125.0
0022300296,2023-12-11,1610612737,ATL,ATL vs. DEN,L,122,35,13,22,25,10,96,44,18,17,1,0,129.0
0022300313,2023-12-13,1610612737,ATL,ATL @ TOR,L,128,42,13,29,32,7,100,48,19,14,0,0,135.0
0022300330,2023-12-15,1610612737,ATL,ATL @ TOR,W,125,55,16,39,34,14,101,52,6,5,0,1,104.0
